SECURITY_NAME,ISIN,TICKER,SECURITY_TYPE,SECURITY_SUB_TYPE,EXCHANGE,LTV_OVERRIDE_NOTE,LTV_OVERRIDE_VALUE,OVERRIDE_STATUS,START_DATE,END_DATE,CREATED_BY,CREATED_DATE
NOMURA HOLDINGS INC 1.851% 16JUL2025,US65535HAR03,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 6.07% 12JUL2028,US65535HBM07,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 6.087% 12JUL2033,US65535HBP38,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 2.679% 16JUL2030,US65535HAS85,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 5.386% 06JUL2027,US65535HBF55,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 5.842% 18JAN2028,US65535HBH12,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 6.181% 18JAN2033,US65535HBK41,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 1.653% 14JUL2026,US65535HAW97,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 2.172% 14JUL2028,US65535HAY53,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 2.608% 14JUL2031,US65535HAX70,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 5.605% 06JUL2029,US65535HBC25,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 2.329% 22JAN2027,US65535HAZ29,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 5.709% 09JAN2026,US65535HBG39,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS INC 5.099% 03JUL2025,US65535HBE80,,BOND,Straight Bonds,,No Financing to Nomura Bonds,0.00%,Active,,,,
COUNTRY GARDEN HLDGS 5.125% 17JAN2025,XS1750118462,,BOND,Straight Bonds,,,0.00%,Active,,,,
COUNTRY GARDEN HLDGS 7.25% 08APR2026,XS1974522937,,BOND,Straight Bonds,,,0.00%,Active,,,,
COUNTRY GARDEN HLDGS 8% 27JAN2024,XS1880442717,,BOND,Straight Bonds,,,0.00%,Active,,,,
COUNTRY GARDEN HOLDINGS CO LTD 5.125% 14JAN2027,XS2100725949,,BOND,Straight Bonds,,,0.00%,Active,,,,
COUNTRY GARDEN HOLDINGS CO LTD 4.8% 06AUG2030,XS2210960378,,BOND,Straight Bonds,,,0.00%,Active,,,,
LOGAN GROUP CO LTD 4.5% 13JAN2028,XS2281303896,,BOND,Straight Bonds,,,0.00%,Active,,,,
LOGAN PROPERTY HOLDINGS 6.9% 09JUN2024,XS2050914832,,BOND,Straight Bonds,,,0.00%,Active,,,,
ALFA-BANK AO 5.95% 15APR2030,XS2063279959,,BOND,Floating Bonds,,,0.00%,Active,,,,
GAZPROM OAO 8.625% 28APR2034,XS0191754729,,BOND,Straight Bonds,,,0.00%,Active,,,,
UKRAINE 7.75% 01SEP2027,XS1303927179,,BOND,Straight Bonds,,,0.00%,Active,,,,
GAZPROM PJSC (GAZ FN) 3% 29JUN2027,XS2196334671,,BOND,Straight Bonds,,,0.00%,Active,,,,
COUNTRY GARDEN HLDGS 6.15% 17SEP2025,XS2051371222,,BOND,Straight Bonds,,,0.00%,Active,,,,
GREENTOWN CHINA HOLDINGS LTD 4.7% 29APR2025,XS2247552446,,BOND,Straight Bonds,,,0.00%,Active,,,,
LS FINANCE 2017 LTD 4.875% 15JUL2024,XS2026295639,,BOND,Straight Bonds,,,0.00%,Active,,,,
SHUI ON DEVELOPMENT HOLDING LTD 6.15% 24AUG2024,XS2219615957,,BOND,Straight Bonds,,,0.00%,Active,,,,
RKPF OVERSEAS 2019 A LTD 6.7% 30SEP2024,XS2057076387,,BOND,Straight Bonds,,,0.00%,Active,,,,
RKPF OVERSEAS 2019 A LTD 6% 04SEP2025,XS2223762209,,BOND,Straight Bonds,,,0.00%,Active,,,,
RKPF OVERSEAS 2020 A LTD 5.125% 26JUL2026,XS2356173406,,BOND,Straight Bonds,,,0.00%,Active,,,,
LS FINANCE 2017 LTD 4.8% 18JUN2026,XS2352436526,,BOND,Straight Bonds,,,0.00%,Active,,,,
WANDA COM PROP GRP CO 7.25% 29JAN2024,XS1023280271,,BOND,Straight Bonds,,,0.00%,Active,,,,
