SECURITY_NAME,ISIN,TICKER,SECURITY_TYPE,SECURITY_SUB_TYPE,EXCHANGE,LTV_OVERRIDE_NOTE,LTV_OVERRIDE_VALUE,OVERRIDE_STATUS,START_DATE,END_DATE,CREATED_BY,CREATED_DATE
NOMURA HOLDINGS,US65535HAR03,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBM07,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBP38,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HAS85,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBF55,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBH12,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBK41,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HAW97,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HAY53,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HAX70,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBC25,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HAZ29,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBG39,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
NOMURA HOLDINGS,US65535HBE80,,Bond,,,No Financing to Nomura Bonds,0.00%,Active,,,,
COUNTRY GARDEN,XS1750118462,,Bond,,,,0.00%,Active,,,,
COUNTRY GARDEN,XS1974522937,,Bond,,,,0.00%,Active,,,,
COUNTRY GARDEN,XS1880442717,,Bond,,,,0.00%,Active,,,,
COUNTRY GARDEN,XS2100725949,,Bond,,,,0.00%,Active,,,,
COUNTRY GARDEN,XS2210960378,,Bond,,,,0.00%,Active,,,,
LOGAN GROUP CO,XS2281303896,,Bond,,,,0.00%,Active,,,,
LOGAN GROUP CO,XS2050914832,,Bond,,,,0.00%,Active,,,,
ALFA BANK,XS2063279959,,Bond,,,,0.00%,Active,,,,
GAZPROM,XS0191754729,,Bond,,,,0.00%,Active,,,,
UKRAINE GOVT,XS1303927179,,Bond,,,,0.00%,Active,,,,
GAZPROM PJSC,XS2196334671,,Bond,,,,0.00%,Active,,,,
COUNTRY GARDEN,XS2051371222,,Bond,,,,0.00%,Active,,,,
GREENTOWN CHINA,XS2247552446,,Bond,,,,0.00%,Active,,,,
SHUI ON DEVELOP,XS2075800743,,Bond,,,,0.00%,Active,,,,
LS FINANCE 2017,XS2026295639,,Bond,,,,0.00%,Active,,,,
SHUI ON DEVELOP,XS2219615957,,Bond,,,,0.00%,Active,,,,
RKPF 2019 A LTD,XS2057076387,,Bond,,,,0.00%,Active,,,,
RKPF 2019 A LTD,XS2223762209,,Bond,,,,0.00%,Active,,,,
RKPF OVRS 2020 A,XS2356173406,,Bond,,,,0.00%,Active,,,,
LS FINANCE 2017,XS2352436526,,Bond,,,,0.00%,Active,,,,
WANDA PROPERTIES,XS1023280271,,Bond,,,,0.00%,Active,,,,
LI & FUNG LTD,XS1389118453,,Bond,,,,0.00%,Active,,,,
NWD FINANCE(BVI),XS2268392599,,Bond,,,,0.00%,Active,,,,
RKPF 2019 A LTD,XS2127855711,,Bond,,,,0.00%,Active,,,,
RKPF OVRS 2020 A,XS2281039771,,Bond,,,,0.00%,Active,,,,
RKI FIN 2017 A,XS1635996603,,Bond,,,,0.00%,Active,,,,
RKP OVERSEAS FI,XS1567389728,,Bond,,,,0.00%,Active,,,,
RKPF 2019 E LTD,XS2079096884,,Bond,,,,0.00%,Active,,,,
LONGFOR HOLDINGS,XS1743535491,,Bond,,,,0.00%,Active,,,,
GX FINANCIAL INV,XS2226197429,,Bond,,,,0.00%,Active,,,,
ADANI PORTS AND,USY00130RW92,,Bond,,,,90.00%,Active,,,,
ADANI GREEN ENE,XS2383328932,,Bond,,,,75.00%,Active,,,,
ADANI PORTS AND,USY00130RP42,,Bond,,,,75.00%,Active,,,,
ADANI PORTS A,USY00130YU53,,Bond,,,,65.00%,Active,,,,
ADANI PORTS AND,XS1636266832,,Bond,,,,85.00%,Active,,,,
ADANI GREEN/PR,XS1854172043,,Bond,,,,0.00%,Active,,,,
ADANI ELECTRICIT,XS2109438205,,Bond,,,,75.00%,Active,,,,
ADANI ELECTRICIT,XS2367109803,,Bond,,,,70.00%,Active,,,,
ADANI TRANS STEP,XS1391575161,,Bond,,,,85.00%,Active,,,,
ADANI PORTS AND,USY00130VS35,,Bond,,,,85.00%,Active,,,,
SHUI ON DEVELOP,XS2358225477,,Bond,,,,0.00%,Active,,,,
SHUI ON DEVELOP,XS2113708155,,Bond,,,,0.00%,Active,,,,
SINO OCEAN LAND,XS2098034452,,Bond,,,,0.00%,Active,,,,
SINO OCEAN LAND,XS1677024579,,Bond,,,,0.00%,Active,,,,
GLP PTE LTD,XS2340147813,,Bond,,,,0.00%,Active,,,,
GLP PTE LTD,XS1242348164,,Bond,,,,0.00%,Active,,,,
GLP PTE LTD,XS2357239057,,Bond,,,,0.00%,Active,,,,
FORTUNE STAR,XS2357132849,,Bond,,,,0.00%,Active,,,,
FORTUNE STAR,XS2281321799,,Bond,,,,0.00%,Active,,,,
FORTUNE STAR,XS2343337122,,Bond,,,,0.00%,Active,,,,
FORTUNE STAR,XS2238561794,,Bond,,,,0.00%,Active,,,,
LEE & MAN PAPER,XS1993771325,,Bond,,,,0.00%,Active,,,,
LR CAPITAL GLOBA,XS2093604036,,Bond,,,,0.00%,Active,,,,
HUARONG FIN 2019,XS2122990737,,Bond,,,,75.00%,Active,,,,
HUARONG FIN II,XS1165659514,,Bond,,,,80.00%,Active,,,,
HUARONG FINANCE,XS1713316252,,Bond,,,,75.00%,Active,,,,
HUARONG FIN 2019,XS2001732101,,Bond,,,,80.00%,Active,,,,
FRANSHION BRILLA,XS2030348903,,Bond,,,,50.00%,Active,,,,
HUARONG FIN 2019,XS2076078513,,Bond,,,,80.00%,Active,,,,
CNAC HK FINBRID,XS2226808322,,Bond,,,,55.00%,Active,,,,
CHINA WATER AFF,XS2320779213,,Bond,,,,60.00%,Active,,,,
NAGACORP LTD,XS2197693265,,Bond,,,,30.00%,Active,,,,
STRIP PRINC,US912803FR90,,Bond,,,,65.00%,Active,,,,
STRIP PRINC,US912803GU11,,Bond,,,,65.00%,Active,,,,
EMIRATES NBD,XS2134363170,,Bond,,,,65.00%,Active,,,,
EMIRATES NBD,AU3CB0297018,,Bond,,,,75.00%,Active,,,,
EMIRATES NBD,XS2342723900,,Bond,,,,60.00%,Active,,,,
BANK OF DUBAI,XS2243350753,,Bond,,,,60.00%,Active,,,,
US TREASURY N/B,US91282CDY49,,Bond,,,,85.00%,Active,,,,
US TREASURY N/B,US91282CEG24,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CEQ06,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CEN74,,Bond,,,,90.00%,Active,,,,
US TREASURY N/B,US912810SH23,,Bond,,,,80.00%,Active,,,,
US TREASURY N/B,US91282CFN65,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CFQ96,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CFP14,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CCB54,,Bond,,,,85.00%,Active,,,,
US TREASURY N/B,US91282CGL90,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CGG06,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CCG42,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CDZ14,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US912828XT22,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CGN56,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US912810SN90,,Bond,,,,80.00%,Active,,,,
US TREASURY N/B,US91282CAD39,,Bond,,,,90.00%,Active,,,,
US TREASURY N/B,US91282CDN83,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US912828WJ58,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CHC82,,Bond,,,,80.00%,Active,,,,
US TREASURY N/B,US91282CHK09,,Bond,,,,90.00%,Active,,,,
US TREASURY N/B,US912810TZ12,,Bond,,,,75.00%,Active,,,,
US TREASURY N/B,US91282CGA36,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CFV81,,Bond,,,,80.00%,Active,,,,
US TREASURY N/B,US91282CGD74,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US91282CFA45,,Bond,,,,95.00%,Active,,,,
US TREASURY N/B,US912810TT51,,Bond,,,,80.00%,Active,,,,
