Account,ISIN,Short Name,PX_LAST,CRNCY,144A_FLAG,PRVT_PLACE,AMT_Issued,EXCHANGE RATE,Issue Size (USD mil),MARKET_SECTOR_DES,MTY_TYP,Bond Type,CPN_TYP,CPN_TYP_adj,IS_SUBORDINATED,CAPITAL_CONTINGENT_SECURITY,IS_CD,ULT_PARENT_CNTRY_OF_RISK,CNTRY_OF_RISK,Country Classification,INDUSTRY_SECTOR,INDUSTRY_GROUP,GUARANTOR_EQY_TICKER,Issuer_Parent_Eqy_Ticker,ULT_PARENT_TICKER_EXCHANGE,Issuer Ticker to Use,RTG_SP_LT_FC_ISSUER_CREDIT,RTG_MDY_LT_FC_DEBT_RATING,RTG_MOODY_LONG_TERM,ISSUER_RTG_MOODY_0,ISSUER_RTG_SP,ISSUER_RTG_MOODY,ISSUER Lowest Rating in S&P Equivalent,RTG_SP,RTG_MOODY,RTG_SP_adj,RTG_MOODY_adj,YAS_ISPREAD_TO_GOVT,DISC_MRGN_ASK,SPREAD,CALLED,CALLED_DT,Issue Lowest Rating in S&P Equivalent,Use Issue or Issuer Rating?,Rating to Use,Rating_Ranked,IG / NIG Indicator,Maturity,"Yrs to maturity 
(Perp = 30 yrs)",Tenor Bucket,Tenor Column,Tenor_Ranked,Indicative_LTV_1 @ IM,Pass Private Placement/144A check?,Pass ABS/CDO check?,Straight Bond ≥ 40% price / Perp ≥ 50% price?,Issue Size ≥ USD 100mil for sub IG and EM bond?,Approved CCY?,Approved Country of Risk?,Floating Coupon Adjustments (+LTV%),"ZCB (-5% LTV for 5-10Y, -10% LTV for >10Y)",Subs - if issuer rating <= issue rating OR if no issue rating then -10% LTV,BB+/ B/ B-/ NR Sovereign = +5% LTV,"800-1200= -10% LTV
1000-1200= -20% LTV
>1200 - no financing",Indicative_LTV_2 @ IM,FINAL_LTV @ IM,FINAL_LTV @ MC,FINAL_LTV @ SL,FINAL_HC @ IM,FINAL_HC @ MC,FINAL_HC @ SL,Warning Comments,System HC @ MC,Difference in HC,Review Comments
0,XS1344477028,HSIN CHONG CONST,0.708,USD,N,N,150000000,1,150,Corp,AT MATURITY,Straight,DEFAULTED,Defaulted,N,#N/A Field Not Applicable,N,HK,HK,DM,Industrial,Engineering&Construction,#N/A N/A,#N/A N/A,NIL,#N/A N/A,NIL,NIL,NIL,NIL,NIL,NIL,Unrated,NIL,NIL,NIL,NIL,119432.1481,#N/A Field Not Applicable,119432.1481,N,#N/A Field Not Applicable,Unrated,Use B-/B/B+ row,B-,22. Unrated,NIG,1/22/2019,-5.104109589,#N/A,Matured,#N/A,0,YES,YES,NO,YES,YES,YES,0,0,0,0,No LTV - High Spreads,Defaulted,0,0,0,1,1,1,,0%,1,0
0,XS1317967492,HUARONG FIN II,97.714,USD,N,N,800000000,1,800,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,CN,CN,EM,Financial,Investment Companies,0992613D HK,2799 HK,NIL,0992613D HK,BBB-,NIL,NIL,NIL,BBB-,NIL,BBB-,BBB-,Ba2,BBB-,Ba2,164.8434736,#N/A Field Not Applicable,164.8434736,N,#N/A Field Not Applicable,BB,Use Issue rating,BB,12. BB,NIG,11/19/2025,1.726027397,<=2Y,2,02. <=2Y,0.75,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.75,0.75,0.7875,0.825,0.25,0.2125,0.175,,75%,-0.5375,0
0,XS2772028911,BOCI FINL PROD,#N/A N/A,SGD,N,N,1500000,1.3445,1.115656378,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,CN,HK,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,3988 HK,NIL,3988 HK,A,A1,NIL,A1,A,A1,A,NIL,NIL,NIL,NIL,#N/A N/A,#N/A Field Not Applicable,#N/A Field Not Applicable,N,#N/A Field Not Applicable,Unrated,Use Guarantor/Issuer rating,A,22. Unrated,IG,3/22/2024,0.063013699,<=1Y,1,01. <=1Y,0.95,YES,YES,YES,YES,YES,YES,0,0,0,0,No LTV - No Spreads Data,0,0,0,0,1,1,1,"Last price #N/A, refer last price in Avaloq",95%,0.05,0
0,USU81522AE14,7-ELEVEN INC,79.599,USD,N,N,1700000000,1,1700,Corp,CALLABLE,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,US,DM,"Consumer, Cyclical",Retail,#N/A Field Not Applicable,3382 JP,NIL,3382 JP,A,NIL,A2,A2,A,A2,A,A,Baa2,A,Baa2,103.852004,#N/A Field Not Applicable,103.852004,N,#N/A Field Not Applicable,BBB,Use Issue rating,BBB,09. BBB,IG,2/10/2031,6.956164384,<=7Y,7,07. <=7Y,0.8,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.8,0.8,0.84,0.88,0.2,0.16,0.12,,80%,-0.64,0
0,USU81522AF88,7-ELEVEN INC,67.021,USD,N,N,750000000,1,750,Corp,CALLABLE,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,US,DM,"Consumer, Cyclical",Retail,#N/A Field Not Applicable,3382 JP,NIL,3382 JP,A,NIL,A2,A2,A,A2,A,A,Baa2,A,Baa2,104.5451993,#N/A Field Not Applicable,104.5451993,N,#N/A Field Not Applicable,BBB,Use Issue rating,BBB,09. BBB,IG,2/10/2041,16.96438356,<=10Y+,10,10. <=10Y+,0.7,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.7,0.7,0.735,0.77,0.3,0.265,0.23,,70%,-0.435,0
0,USU81522AG61,7-ELEVEN INC,62.046,USD,N,N,1250000000,1,1250,Corp,CALLABLE,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,US,DM,"Consumer, Cyclical",Retail,#N/A Field Not Applicable,3382 JP,NIL,3382 JP,A,NIL,A2,A2,A,A2,A,A,Baa2,A,Baa2,105.9258134,#N/A Field Not Applicable,105.9258134,N,#N/A Field Not Applicable,BBB,Use Issue rating,BBB,09. BBB,IG,2/10/2051,26.96986301,<=10Y+,10,10. <=10Y+,0.7,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.7,0.7,0.735,0.77,0.3,0.265,0.23,,70%,-0.435,0
0,XS2080819779,AAC TECHNOLOGIES,97.538,USD,N,N,388000000,1,388,Corp,CALLABLE,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,CN,CN,EM,Industrial,Electronics,#N/A Field Not Applicable,2018 HK,NIL,2018 HK,NIL,NIL,Baa3,Baa3,NIL,Baa3,BBB-,NIL,Baa3,NIL,Baa3,124.6061137,#N/A Field Not Applicable,124.6061137,N,#N/A Field Not Applicable,BBB-,Use Issue rating,BBB-,10. BBB-,IG,11/27/2024,0.747945205,<=1Y,1,01. <=1Y,0.9,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.9,0.9,0.927,0.9405,0.1,0.073,0.0595,,90%,-0.827,0
0,XS2341038656,AAC TECHNOLOGIES,91.436,USD,N,N,300000000,1,300,Corp,CALLABLE,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,CN,CN,EM,Industrial,Electronics,#N/A Field Not Applicable,2018 HK,NIL,2018 HK,NIL,NIL,Baa3,Baa3,NIL,Baa3,BBB-,NIL,Baa3,NIL,Baa3,215.4336213,#N/A Field Not Applicable,215.4336213,N,#N/A Field Not Applicable,BBB-,Use Issue rating,BBB-,10. BBB-,IG,6/2/2026,2.260273973,<=3Y,3,03. <=3Y,0.85,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.85,0.85,0.8798,0.9095,0.15,0.1203,0.0905,,85%,-0.7297,0
0,US00287YCB39,ABBVIE INC,85.672,USD,N,N,5745050000,1,5745.05,Corp,CALLABLE,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,US,US,DM,"Consumer, Non-cyclical",Pharmaceuticals,#N/A Field Not Applicable,ABBV US,NIL,ABBV US,A-,NIL,A3,A3,A-,A3,A-,A-,A3,A-,A3,79.35009516,#N/A Field Not Applicable,79.35009516,N,#N/A Field Not Applicable,A-,Use Issue rating,A-,07. A-,IG,11/21/2049,25.74794521,<=10Y+,10,10. <=10Y+,0.75,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.75,0.75,0.7875,0.825,0.25,0.2125,0.175,,75%,-0.5375,0
0,XS1753595328,ABJA INVESTMENT,99.528,USD,N,N,1000000000,1,1000,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,IN,IN,EM,Basic Materials,Iron/Steel,#N/A Field Not Applicable,TATA IN,NIL,TATA IN,BBB-,NIL,Baa3,Baa3,BBB-,Baa3,BBB-,BBB-,NIL,BBB-,NIL,119.3835586,#N/A Field Not Applicable,119.3835586,N,#N/A Field Not Applicable,BBB-,Use Issue rating,BBB-,10. BBB-,IG,1/24/2028,3.906849315,<=4Y,4,04. <=4Y,0.85,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.85,0.85,0.8798,0.9095,0.15,0.1203,0.0905,,85%,-0.7297,0
