Account,ISIN,Short Name,PX_LAST,CRNCY,144A_FLAG,PRVT_PLACE,AMT_Issued,EXCHANGE RATE,Issue Size (USD mil),MARKET_SECTOR_DES,MTY_TYP,Bond Type,CPN_TYP,CPN_TYP_adj,IS_SUBORDINATED,CAPITAL_CONTINGENT_SECURITY,IS_CD,ULT_PARENT_CNTRY_OF_RISK,CNTRY_OF_RISK,Country Classification,INDUSTRY_SECTOR,INDUSTRY_GROUP,GUARANTOR_EQY_TICKER,Issuer_Parent_Eqy_Ticker,ULT_PARENT_TICKER_EXCHANGE,Issuer Ticker to Use,RTG_SP_LT_FC_ISSUER_CREDIT,RTG_MDY_LT_FC_DEBT_RATING,RTG_MOODY_LONG_TERM,ISSUER_RTG_MOODY_0,ISSUER_RTG_SP,ISSUER_RTG_MOODY,ISSUER Lowest Rating in S&P Equivalent,RTG_SP,RTG_MOODY,RTG_SP_adj,RTG_MOODY_adj,YAS_ISPREAD_TO_GOVT,DISC_MRGN_ASK,SPREAD,CALLED,CALLED_DT,Issue Lowest Rating in S&P Equivalent,Use Issue or Issuer Rating?,Rating to Use,Rating_Ranked,IG / NIG Indicator,Maturity,"Yrs to maturity 
(Perp = 30 yrs)",Tenor Bucket,Tenor Column,Tenor_Ranked,Indicative_LTV_1 @ IM,Pass Private Placement/144A check?,Pass ABS/CDO check?,Straight Bond ≥ 40% price / Perp ≥ 50% price?,Issue Size ≥ USD 100mil for sub IG and EM bond?,Approved CCY?,Approved Country of Risk?,Floating Coupon Adjustments (+LTV%),"ZCB (-5% LTV for 5-10Y, -10% LTV for >10Y)",Subs - if issuer rating <= issue rating OR if no issue rating then -10% LTV,BB+/ B/ B-/ NR Sovereign = +5% LTV,"800-1200= -10% LTV
1000-1200= -20% LTV
>1200 - no financing",Indicative_LTV_2 @ IM,FINAL_LTV @ IM,FINAL_LTV @ MC,FINAL_LTV @ SL,FINAL_HC @ IM,FINAL_HC @ MC,FINAL_HC @ SL,Warning Comments,Ticker,Name,Private Placement/144A waiver,Issue Size Waiver,Spreads Waiver,Spreads Addon,Currency Waiver,PX_LAST,Spreads as Proxy Override,New LTV @ IM Value,Final LTV @ IM Override,New LTV @ IM Value,Deviation Type,User Comments,System HC @ MC,Difference in HC @ MC level,Deviation at HC @ MC level,Review Comments
0,US65535HAR03,NOMURA HOLDINGS,94.864,USD,N,N,1500000000,1,1500,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,90.0514759,#N/A Field Not Applicable,90.0514759,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/16/2025,1.380821918,<=2Y,2,02. <=2Y,0.9,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.9,0,0,0,1,1,1,,0, ,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HBM07,NOMURA HOLDINGS,102.26,USD,N,N,900000000,1,900,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,112.4178921,#N/A Field Not Applicable,112.4178921,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/12/2028,4.37260274,<=5Y,5,05. <=5Y,0.85,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.85,0,0,0,1,1,1,,0, ,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HBP38,NOMURA HOLDINGS,103.996,USD,N,N,600000000,1,600,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,123.4493304,#N/A Field Not Applicable,123.4493304,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/12/2033,9.375342466,<=10Y+,10,10. <=10Y+,0.7,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.7,0,0,0,1,1,1,,0, ,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HAS85,NOMURA HOLDINGS,84.533,USD,N,N,1000000000,1,1000,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,128.3809395,#N/A Field Not Applicable,128.3809395,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/16/2030,6.383561644,<=7Y,7,07. <=7Y,0.8,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.8,0,0,0,1,1,1,,0, ,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HBF55,NOMURA HOLDINGS,99.68,USD,N,N,500000000,1,500,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,104.8499716,#N/A Field Not Applicable,104.8499716,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/6/2027,3.353424658,<=4Y,4,04. <=4Y,0.85,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.85,0,0,0,1,1,1,,0, ,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HBH12,NOMURA HOLDINGS,101.238,USD,N,N,550000000,1,550,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,108.6721593,#N/A Field Not Applicable,108.6721593,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,1/18/2028,3.890410959,<=4Y,4,04. <=4Y,0.85,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HBK41,NOMURA HOLDINGS,104.579,USD,N,N,750000000,1,750,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,121.9224297,#N/A Field Not Applicable,121.9224297,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,1/18/2033,8.895890411,<=9Y,9,09. <=9Y,0.75,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HAW97,NOMURA HOLDINGS,91.279,USD,N,N,1250000000,1,1250,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,103.5102414,#N/A Field Not Applicable,103.5102414,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/14/2026,2.375342466,<=3Y,3,03. <=3Y,0.9,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HAY53,NOMURA HOLDINGS,87.149,USD,N,N,1000000000,1,1000,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,116.9469308,#N/A Field Not Applicable,116.9469308,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/14/2028,4.378082192,<=5Y,5,05. <=5Y,0.85,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
0,US65535HAX70,NOMURA HOLDINGS,81.968,USD,N,N,1000000000,1,1000,Corp,AT MATURITY,Straight,FIXED,Fixed,N,#N/A Field Not Applicable,N,JP,JP,DM,Financial,Diversified Finan Serv,#N/A Field Not Applicable,8604 JP,NIL,8604 JP,BBB+,NIL,Baa1,Baa1,BBB+,Baa1,BBB+,BBB+,Baa1,BBB+,Baa1,131.4661005,#N/A Field Not Applicable,131.4661005,N,#N/A Field Not Applicable,BBB+,Use Issue rating,BBB+,08. BBB+,IG,7/14/2031,7.378082192,<=8Y,8,08. <=8Y,0.75,YES,YES,YES,YES,YES,YES,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,No,NO,NO,0,NO,0,NO,0,Yes,0,0,Nomura own papers (TLAC),0%,0,0,0
