Sample Checking,ISIN,Ticker,Quantity,Name,Last ClosePrice,Takara UMD 0408 LCP,Currency,Takara UMD 0408 CCY, Listed Exchange ,Section,Takara Prim Exchange,Market Cap USD,Takara UMD 0408 CUR_MKT_CAP,CUR_MKT_CAP in USD Million, Equity Shares Outstanding Mio ,Takara UMD 0408 EQY_SH_OUT,EQY_SH_OUT IN MIL, vol_260d_cal ,Takara UMD 0416 vol_260d_calc,3M Volume,Takara UMD 0408  VOLUME_AVG_3M,Average Traded Value_3M (USD),Takara UMD 0408  AVG_DAILY_VALUE_TRADED_3M,AVG_DAILY_VALUE_TRADED_3M in USD,HC Formula (%),HC Bucketing (%),HC mcap (%),"HC Max(HCmcap,formula) (%)",Penny stock penalty (if any),Full Equity Financing,Equity Financing up to LP10, Market Value USD , Full Equity Collateral Value USD , Collateral Value USD 
,US64110W1027,NTES UW,"5,000,000",NETEASE INC-ADR,105.76,,USD,, NASDAQ GS ,#N/A Field Not Applicable,#N/A,"68,210 Million",,, 644.95 ,,, 39.05 ,,"731,674",,"71,517,784",,,38.4%,21.25%,42.25%,42.25%,42.25%,55%,10%," 528,800,000 "," 290,840,000 "," 52,880,000 "
1,JP3765150002,6324 JP,"2,841,600",HARMONIC DRIVE SYSTEMS INC,4300,4050,JPY,JPY, Tokyo ,Tokyo Standard,,"2,892 Million",390077.37,2535.502905, 96.32 ,96315000,96.315, 47.19 , 47.34 ,"473,652",472233.9,"13,422,394",1863900000,12115350,42.53%,31.75%,47.5%,47.5%,47.5%,50%,10%," 81,253,358 "," 40,626,679 "," 8,125,336 "
,US81761L1026,SVC UW,"800,000",SERVICE PROPERTIES TRUST,6.46,,USD,, NASDAQ GS ,#N/A Field Not Applicable,#N/A,"1,071 Million",,, 165.77 ,,, 36.46 ,,"394,714",,"2,928,593",,,25.23%,31.75%,26.5%,31.75%,42.25%,55%,25%," 5,168,000 "," 2,842,400 "," 1,292,000 "
1,KYG844081060,1252 HK,"28,700,000",CHINA TIANRUI GROUP CEMENT C,5.26,5.08,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"2,068 Million",14926.47,1940.4411," 2,938.28 ",2938282000,2938.282, 32.06 , 466.58 ,"295,508",277403.2,"201,966",1506248,195812.24,73.71%,31.75%,73.75%,73.75%,73.75%,25%,0%," 19,300,901 "," 4,825,225 ", -   
1,KYG875721634,700 HK,"303,858",TENCENT HOLDINGS LTD,289.8,306.2,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"344,032 Million",2897286.24,376647.2112," 9,431.78 ",9462045000,9462.045, 35.19 , 34.08 ,"24,025,050",22402250,"870,743,722",6383878000,829904140,16.9%,21.25%,21.25%,21.25%,21.25%,75%,75%," 11,258,460 "," 8,443,845 "," 8,443,845 "
,SG2F08984575,FEHT SP,"125,000",FAR EAST HOSPITALITY TRUST,0.62,,SGD,#N/A, Singapore ,#N/A Field Not Applicable,#N/A,910 Million,,," 2,005.07 ",,, 21.67 ,,"1,461,684",,"672,333",,,10.78%,52.75%,21.25%,52.75%,84.25%,15%,15%," 57,732 "," 8,660 "," 8,660 "
1,CNE100000205,3328 HK,"3,279,155",BANK OF COMMUNICATIONS CO-H,5.19,5.09,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"56,357 Million",454765.68,59119.5384," 35,011.86 ",35011860000,35011.86, 25.10 , 23.55 ,"17,905,380",20024990,"11,164,551",99042380,12875509.4,12.53%,21.25%,21.25%,21.25%,21.25%,75%,75%," 2,175,902 "," 1,631,926 "," 1,631,926 "
1,HK0000337987,3329 HK,"7,383",BOCOM INTERNATIONAL HOLDINGS,0.305,0.28,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,103 Million,765.63,99.5319," 2,734.39 ",2734392000,2734.392, 52.38 , 49.96 ,"474,817",409867.9,"19,625",128398.5,16691.805,24.09%,100.%,26.5%,100.%,100.%,0%,0%, 288 , -   , -   
1,CNE1000002L3,2628 HK,"167,280",CHINA LIFE INSURANCE CO-H,9.61,9.17,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"92,628 Million",719344.52,93514.7876," 7,441.18 ",7441175000,7441.175, 36.82 , 36.28 ,"30,105,470",33098140,"36,250,045",309515600,40237028,17.61%,21.25%,21.25%,21.25%,21.25%,75%,75%," 205,531 "," 154,148 "," 154,148 "
1,CNE1000003G1,1398 HK,"1,470,000",IND & COMM BK OF CHINA-H,3.96,3.96,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"236,630 Million",1899029.99,246873.8987," 86,794.04 ",86794040000,86794.04, 24.77 , 21.87 ,"217,718,100",229233900,"107,502,137",891863900,115942307,12.22%,21.25%,21.25%,21.25%,21.25%,75%,75%," 744,256 "," 558,192 "," 558,192 "
