ISIN,Generic LTV,Override Last Upload',Diff
XS1344477028,0,NA,N
XS1317967492,0.75,NA,N
XS2772028911,0,NA,N
USU81522AE14,0.8,NA,N
USU81522AF88,0.7,NA,N
USU81522AG61,0.7,NA,N
XS2080819779,0.9,NA,N
XS2341038656,0.85,NA,N
US00287YCB39,0.75,NA,N
XS1753595328,0.85,NA,N
XS1090889947,0.9,NA,N
XS2103007675,0.95,NA,N
XS1264600310,0.9,NA,N
XS2651081304,0.85,NA,N
XS1709535097,0.75,NA,N
XS1435072464,0.9,NA,N
XS1808737594,0.95,NA,N
XS2600248335,0.75,NA,N
XS2367109803,0.7,0.7,N
XS2109438205,0.75,0.75,N
XS2383328932,0.75,0.75,N
XS1854172043,0.75,0.75,N
USY00130RW92,0.9,0.9,N
XS1636266832,0.85,0.85,N
USY00130VS35,0.85,0.85,N
USY00130RP42,0.75,0.75,N
USY00130YU53,0.65,0.65,N
XS1391575161,0.85,0.85,N
AU3CB0248169,0.9,NA,N
XS2072933778,0.85,NA,N
XS1983289791,0.9,NA,N
XS2343007170,0.75,NA,N
XS2053566068,0.8,NA,N
XS2343627712,0,NA,N
XS2194361494,0,NA,N
XS2243343204,0,NA,N
XS2770234826,0.95,NA,N
XS2655732746,0.95,NA,N
XS2728465613,0.95,NA,N
XS2735739505,0.95,NA,N
XS2732943506,0.95,NA,N
XS2731234154,0.95,NA,N
XS2328261263,0.7,NA,N
US00131MAK99,0.75,NA,N
US00131M2B87,0.75,NA,N
US00914AAB89,0.9,NA,N
AU3CB0289213,0.8,NA,N
XS2607535684,0.85,NA,N
XS2238947126,0,NA,N
US01609WAV46,0.75,NA,N
XS2615583510,0.7,NA,N
US02079KAE73,0.75,NA,N
US02079KAF49,0.75,NA,N
US02209SBL60,0.75,NA,N
US02209SBM44,0.7,NA,N
US02209SBN27,0.7,NA,N
US02209SBP74,0.7,NA,N
US02209SAQ66,0.7,NA,N
US02209SBD45,0.85,NA,N
US02209SBF92,0.7,NA,N
US02209SBG75,0.7,NA,N
US023135BZ81,0.8,NA,N
US023135BU94,0.75,NA,N
US023135CA22,0.75,NA,N
US023135CK04,0.75,NA,N
US023135CQ73,0.85,NA,N
USU0242AAD47,0.4,NA,N
US025676AM95,0.85,NA,N
US02665WCE93,0.9,NA,N
US02665WEH07,0.8,NA,N
US026874DL83,0.7,NA,N
US031162DS61,0.7,NA,N
XS2161843789,0,NA,N
US03512TAF84,0.65,NA,N
US03522AAJ97,0.75,NA,N
US00182FBU93,0.85,NA,N
XS1617833584,0,NA,N
US037833EE62,0.75,NA,N
US037833DZ01,0.75,NA,N
US037833EA41,0.75,NA,N
US037833DB33,0.9,NA,N
US037833DK32,0.9,NA,N
US037833DD98,0.75,NA,N
US037833AL42,0.75,NA,N
US037833ET32,0.85,NA,N
US037833EW60,0.75,NA,N
US04010LAZ67,0.9,NA,N
US040114HX11,0,NA,N
US040114HT09,0,NA,N
AU3CB0252955,0.9,NA,N
FR001400CSG4,0.9,NA,N
SGXF53470518,0.8,NA,N
SGXF50149396,0.7,NA,N
SGXF93037806,0.3,NA,N
XS1056732214,0,NA,N
SGXF34882443,0,NA,N
XS1879223565,0.9,NA,N
US00206RKF81,0.7,NA,N
US00206RJZ64,0.7,NA,N
US00206RMN97,0.7,NA,N
AU3CB0256907,0.9,NA,N
US00206RCP55,0.7,NA,N
AU3CB0256915,0.85,NA,N
US00206RDH21,0.7,NA,N
US00206RHA32,0.7,NA,N
US00206RDS85,0.7,NA,N
US00206RCU41,0.7,NA,N
US04686E2Q45,0.95,NA,N
US04686JAC53,0.8,NA,N
US04686JAF84,0.75,NA,N
AU3CB0274173,0.8,NA,N
AU3CB0273563,0.9,NA,N
XS2212009000,0.8,NA,N
XS2095795881,0.7,NA,N
USQ0426RND62,0.9,NA,N
AU3CB0289221,0.95,NA,N
AU3CB0298354,0.85,NA,N
US05254JAA88,0.95,NA,N
XS2181348405,0.75,NA,N
USG0686BAK55,0.85,NA,N
US054536AA57,0.8,NA,N
USV04008AA29,0.4,NA,N
US05971BAG41,0.75,NA,N
USP09252AK62,0.7,NA,N
XS2748853194,0.8,NA,N
AU3CB0306140,0.8,NA,N
USY06072AF24,0.7,NA,N
USY0606WBQ25,0.8,NA,N
XS2169280919,0.9,NA,N
XS0307202530,0,NA,N
US06051GFH74,0.95,NA,N
US06051GEN51,0.75,NA,N
US59022CAJ27,0.7,NA,N
US06428CAA27,0.9,NA,N
XS1972573007,0.9,NA,N
US06120TAA60,0.95,NA,N
HK0000950953,0.95,NA,N
HK0000984945,0.95,NA,N
HK0000984515,0.95,NA,N
HK0000992765,0.95,NA,N
XS2633583500,0.95,NA,N
XS2728917969,0.95,NA,N
XS2724884791,0.95,NA,N
HK0000936580,0.95,NA,N
XS2168040744,0.75,NA,N
CA06368B2H05,0.95,NA,N
XS2063540038,0.75,NA,N
XS1650033571,0.85,NA,N
AU3CB0264513,0.95,NA,N
US06738EAE59,0.9,NA,N
XS1722863054,0.7,NA,N
AU3CB0264521,0.8,NA,N
US06738EAN58,0.9,NA,N
US05526DBU81,0.7,NA,N
US05526DBK00,0.7,NA,N
US05526DBV64,0.7,NA,N
US054989AB41,0.7,NA,N
US05530QAN07,0.9,NA,N
US05530QAQ38,0.85,NA,N
USU07229AB00,0.85,NA,N
USU07265AE85,0.9,NA,N
USU07265AF50,0.85,NA,N
US055291AC24,0.8,NA,N
XS2199575569,0.9,NA,N
XS2010045438,0.2,NA,N
XS1508669790,0.2,NA,N
US075896AB63,0,NA,N
US075896AC47,0,NA,N
US084659AV35,0.8,NA,N
US084664CQ25,0.75,NA,N
US084664CV10,0.75,NA,N
US084664CR08,0.75,NA,N
US084664BU46,0.75,NA,N
USY0889VAA80,0.9,NA,N
XS0834399635,0.95,NA,N
US055451BA54,0.75,NA,N
US055451AV01,0.75,NA,N
US09062XAD57,0.7,NA,N
USU0925BAK09,0.75,NA,N
US09261HAT41,0.9,NA,N
XS2468125609,0.85,NA,N
US09261HBA41,0.9,NA,N
US09261LAC28,0.9,NA,N
US69120VAF85,0.85,NA,N
USU09513JR12,0.75,NA,N
XS1575637266,0.95,NA,N
XS1485725854,0.85,NA,N
US05581LAC37,0.85,NA,N
US09660V2C60,0.7,NA,N
US09659X2D34,0.95,NA,N
US09659X2C50,0.85,NA,N
US09681MAK45,0.85,NA,N
XS2025977427,0.85,NA,N
US09681MAM01,0.95,NA,N
US097023CU76,0.85,NA,N
US097023CY98,0.75,NA,N
US097023CV59,0.65,NA,N
US097023CW33,0.65,NA,N
US097023CX16,0.65,NA,N
XS2597110613,0.3,NA,N
